# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 relative abundance in experiment E-PROT-100
# Selected columns: 2 (all)
# Timestamp: Fri, 20-Dec-2024 11:49:19
Gene ID	Gene Name	normal tissue adjacent to tumor	tumor
ENSG00000067064	IDI1	99693.0	29273.0
ENSG00000067141	NEO1		1448.0
ENSG00000067225	PKM	399781.0	2525646.0
ENSG00000067369	TP53BP1		1144.0
ENSG00000067560	RHOA	522106.0	984135.0
ENSG00000067704	IARS2	3842.0	8796.0
ENSG00000067829	IDH3G		8686.0
ENSG00000067900	ROCK1	1365.0	2639.0
ENSG00000067955	CBFB		26523.0
ENSG00000068079	IFI35	11237.0	16535.0
ENSG00000068120	COASY	15170.0	8373.0
ENSG00000068366	ACSL4		2393.0
ENSG00000068400	GRIPAP1	1572.0	2141.0
ENSG00000068796	KIF2A		237.0
ENSG00000068976	PYGM	3135709.0	495639.0
ENSG00000069248	NUP133		6127.0
ENSG00000069275	NUCKS1	336573.0	80418.0
ENSG00000069329	VPS35	12897.0	49900.0
ENSG00000069345	DNAJA2	8393.0	13047.0
ENSG00000069535	MAOB	10411.0	3866.0
ENSG00000069849	ATP1B3	10360.0	6106.0
ENSG00000069998	HDHD5		13515.0
ENSG00000070010	UFD1	18129.0	
ENSG00000070061	ELP1		412.0
ENSG00000070081	NUCB2	5212.0	5148.0
ENSG00000070087	PFN2	34431.0	42585.0
ENSG00000070182	SPTB	9507.0	4389.0
ENSG00000070214	SLC44A1		3406.0
ENSG00000070756	PABPC1	140786.0	235826.0
ENSG00000070761	CFAP20	29080.0	
ENSG00000070770	CSNK2A2		5982.0
ENSG00000070785	EIF2B3	14066.0	9518.0
ENSG00000070831	CDC42	278259.0	257878.0
ENSG00000070961	ATP2B1		974.0
ENSG00000071051	NCK2		1990.0
ENSG00000071082	RPL31	630215.0	477800.0
ENSG00000071127	WDR1	188108.0	287431.0
ENSG00000071282	LMCD1	5115.0	48820.0
ENSG00000071626	DAZAP1	11166.0	60004.0
ENSG00000071859	FAM50A		8308.0
ENSG00000072042	RDH11	1273.0	1042.0
ENSG00000072110	ACTN1	34494.0	205540.0
ENSG00000072210	ALDH3A2	27334.0	8493.0
ENSG00000072274	TFRC		12653.0
ENSG00000072501	SMC1A	35370.0	20836.0
ENSG00000072506	HSD17B10	130969.0	222970.0
ENSG00000072518	MARK2		2349.0
ENSG00000072756	TRNT1		1277.0
ENSG00000072778	ACADVL	27546.0	27698.0
ENSG00000072786	STK10	849.0	2990.0
ENSG00000072958	AP1M1	10734.0	6195.0
ENSG00000073008	PVR	5577.0	15128.0
ENSG00000073050	XRCC1		2685.0
ENSG00000073111	MCM2		8610.0
ENSG00000073169	SELENOO	3640.0	
ENSG00000073536	NLE1		299.0
ENSG00000073578	SDHA	17627.0	25641.0
ENSG00000073712	FERMT2	50466.0	36140.0
ENSG00000073754	CD5L	36078.0	86308.0
ENSG00000073792	IGF2BP2		10138.0
ENSG00000073921	PICALM	10201.0	12229.0
ENSG00000074201	CLNS1A	48040.0	22958.0
ENSG00000074266	EED		276.0
ENSG00000074319	TSG101		2680.0
ENSG00000074695	LMAN1	12569.0	1918.0
ENSG00000074696	HACD3		3545.0
ENSG00000074800	ENO1	7300222.0	4009411.0
ENSG00000074842	MYDGF	153798.0	134390.0
ENSG00000075142	SRI	37419.0	143664.0
ENSG00000075151	EIF4G3		387.0
ENSG00000075234	TTC38	150941.0	54616.0
ENSG00000075239	ACAT1	433655.0	192753.0
ENSG00000075415	SLC25A3		58311.0
ENSG00000075618	FSCN1	81277.0	92644.0
ENSG00000075643	MOCOS	823.0	
ENSG00000075711	DLG1	10103.0	5544.0
ENSG00000075785	RAB7A	247404.0	514160.0
ENSG00000075856	SART3	766.0	4808.0
ENSG00000075914	EXOSC7	12219.0	6243.0
ENSG00000076003	MCM6		1951.0
ENSG00000076201	PTPN23		550.0
ENSG00000076554	TPD52	28106.0	66637.0
ENSG00000076555	ACACB	4248.0	
ENSG00000076685	NT5C2		2721.0
ENSG00000076928	ARHGEF1	826.0	13501.0
ENSG00000076944	STXBP2		15862.0
ENSG00000077097	TOP2B		6933.0
ENSG00000077147	TM9SF3		6153.0
ENSG00000077274	CAPN6		1375.0
ENSG00000077312	SNRPA	25592.0	26638.0
ENSG00000077380	DYNC1I2	15281.0	16188.0
ENSG00000077420	APBB1IP	2572.0	3318.0
ENSG00000077549	CAPZB	192010.0	427865.0
ENSG00000077942	FBLN1	62112.0	104033.0
ENSG00000078070	MCCC1		2030.0
ENSG00000078140	UBE2K	183275.0	166374.0
ENSG00000078237	TIGAR	6612.0	23442.0
ENSG00000078369	GNB1	37700.0	163831.0
ENSG00000078618	NRDC	1561.0	1192.0
ENSG00000078668	VDAC3		13811.0
ENSG00000078902	TOLLIP	66421.0	15664.0
ENSG00000079112	CDH17		98202.0
ENSG00000079246	XRCC5	39586.0	192357.0
ENSG00000079257	LXN	47441.0	284784.0
ENSG00000079308	TNS1	2335.0	3549.0
ENSG00000079332	SAR1A	86870.0	75515.0
ENSG00000079385	CEACAM1		20968.0
ENSG00000079462	PAFAH1B3	4313.0	71777.0
ENSG00000079557	AFM	52654.0	168414.0
ENSG00000079691	CARMIL1		2164.0
ENSG00000079739	PGM1	2093213.0	225221.0
ENSG00000079785	DDX1	5566.0	29439.0
ENSG00000079805	DNM2	3337.0	32148.0
ENSG00000079819	EPB41L2	8787.0	50179.0
ENSG00000079950	STX7	18912.0	89034.0
ENSG00000080371	RAB21	32166.0	63102.0
ENSG00000080618	CPB2	4828.0	44549.0
ENSG00000080819	CPOX	3949.0	6566.0
ENSG00000080824	HSP90AA1	246838.0	318109.0
ENSG00000080910	CFHR2	37813.0	96121.0
ENSG00000081154	PCNP	42529.0	35758.0
ENSG00000081307	UBA5	26133.0	6665.0
ENSG00000081870	HSPB11	40371.0	35130.0
ENSG00000082153	BZW1	2369.0	21087.0
ENSG00000082212	ME2		13178.0
ENSG00000082438	COBLL1	9714.0	
ENSG00000082515	MRPL22		9360.0
ENSG00000082516	GEMIN5		359.0
ENSG00000082701	GSK3B	8026.0	7251.0
ENSG00000082805	ERC1	1099.0	
ENSG00000082898	XPO1	3690.0	9978.0
ENSG00000083312	TNPO1	1424.0	10049.0
ENSG00000083520	DIS3		14608.0
ENSG00000083642	PDS5B		4554.0
ENSG00000083807	SLC27A5	75480.0	6263.0
ENSG00000083845	RPS5	233480.0	259595.0
ENSG00000083937	CHMP2B	2062.0	15358.0
ENSG00000084110	HAL	17321.0	
ENSG00000084207	GSTP1	437824.0	3826237.0
ENSG00000084623	EIF3I	48230.0	64835.0
ENSG00000084652	TXLNA	4411.0	
ENSG00000084674	APOB	42243.0	54031.0
ENSG00000084733	RAB10	2446.0	37502.0
ENSG00000084734	GCKR	10926.0	
ENSG00000084754	HADHA	44820.0	90780.0
ENSG00000084774	CAD	447.0	3532.0
ENSG00000085063	CD59		107157.0
ENSG00000085224	ATRX		30.0
ENSG00000085377	PREP	78168.0	142565.0
ENSG00000085449	WDFY1		10777.0
ENSG00000085662	AKR1B1	92918.0	237720.0
ENSG00000085719	CPNE3	107582.0	74916.0
ENSG00000085832	EPS15	1334.0	976.0
ENSG00000085871	MGST2	182250.0	191266.0
ENSG00000086061	DNAJA1	1685.0	16615.0
ENSG00000086065	CHMP5	71008.0	37564.0
ENSG00000086475	SEPHS1	50618.0	16414.0
ENSG00000086504	MRPL28		749.0
ENSG00000086548	CEACAM6		17782.0
ENSG00000086598	TMED2		6167.0
ENSG00000086758	HUWE1	320.0	5744.0
ENSG00000086827	ZW10		4739.0
ENSG00000087077	TRIP6	3407.0	5813.0
ENSG00000087086	FTL	2613945.0	4048006.0
ENSG00000087087	SRRT	3599.0	25228.0
ENSG00000087088	BAX	149333.0	214170.0
ENSG00000087191	PSMC5	49625.0	141905.0
ENSG00000087274	ADD1	14826.0	64367.0
ENSG00000087299	L2HGDH	690.0	2881.0
ENSG00000087302	RTRAF		8361.0
ENSG00000087365	SF3B2		11527.0
ENSG00000087460	GNAS	507.0	9213.0
ENSG00000087470	DNM1L	3644.0	10650.0
ENSG00000087842	PIR	63095.0	
ENSG00000087884	AAMDC	61924.0	50232.0
ENSG00000088247	KHSRP	79514.0	116383.0
ENSG00000088256	GNA11		20955.0
ENSG00000088367	EPB41L1		3345.0
ENSG00000088812	ATRN		5566.0
ENSG00000088832	FKBP1A	667790.0	746145.0
ENSG00000088833	NSFL1C	166324.0	71604.0
ENSG00000088888	MAVS		3412.0
ENSG00000088926	F11		1794.0
ENSG00000088930	XRN2		4292.0
ENSG00000089006	SNX5	98669.0	64224.0
ENSG00000089009	RPL6	381752.0	460809.0
ENSG00000089050	RBBP9	69895.0	16395.0
ENSG00000089154	GCN1	292.0	2647.0
ENSG00000089157	RPLP0	148618.0	310781.0
ENSG00000089159	PXN	295.0	3906.0
ENSG00000089220	PEBP1	4.2734829E7	7267367.0
ENSG00000089248	ERP29	488834.0	216262.0
ENSG00000089280	FUS	88728.0	174192.0
ENSG00000089289	IGBP1	4620.0	18096.0
ENSG00000089597	GANAB	21038.0	65896.0
ENSG00000089820	ARHGAP4		1637.0
ENSG00000090006	LTBP4		971.0
ENSG00000090013	BLVRB	1243488.0	297774.0
ENSG00000090054	SPTLC1		3439.0
ENSG00000090273	NUDC	139774.0	139829.0
ENSG00000090339	ICAM1		4963.0
ENSG00000090382	LYZ	101216.0	356795.0
ENSG00000090512	FETUB		22456.0
ENSG00000090520	DNAJB11	10067.0	21023.0
ENSG00000090615	GOLGA3		674.0
ENSG00000090621	PABPC4	18333.0	18877.0
ENSG00000090776	EFNB1		5601.0
ENSG00000090861	AARS1	93661.0	112593.0
ENSG00000090863	GLG1	258.0	5503.0
ENSG00000091127	PUS7		6095.0
ENSG00000091136	LAMB1		5430.0
ENSG00000091140	DLD	100638.0	126136.0
ENSG00000091164	TXNL1	27429.0	41010.0
ENSG00000091409	ITGA6		8917.0
ENSG00000091483	FH	214195.0	107831.0
ENSG00000091513	TF	5053570.0	1.3324166E7
ENSG00000091527	CDV3	38617.0	18633.0
ENSG00000091583	APOH	267548.0	958763.0
ENSG00000091640	SPAG7	3764.0	
ENSG00000092094	OSGEP	3152.0	1894.0
ENSG00000092108	SCFD1	2404.0	9051.0
ENSG00000092148	HECTD1	37835.0	35840.0
ENSG00000092201	SUPT16H	2908.0	5922.0
ENSG00000092531	SNAP23		19065.0
ENSG00000092621	PHGDH	1258496.0	185446.0
ENSG00000092820	EZR	282349.0	208922.0
ENSG00000092841	MYL6	968582.0	1337525.0
ENSG00000092964	DPYSL2	145080.0	277416.0
ENSG00000093010	COMT	475566.0	37851.0
ENSG00000093072	ADA2		54.0
ENSG00000093144	ECHDC1	103973.0	72131.0
ENSG00000093167	LRRFIP2	3560.0	
ENSG00000093217	XYLB	153496.0	10731.0
ENSG00000094631	HDAC6	9056.0	4188.0
ENSG00000094916	CBX5	14137.0	18114.0
ENSG00000095002	MSH2		3656.0
ENSG00000095139	ARCN1	132120.0	162215.0
ENSG00000095261	PSMD5	6134.0	6880.0
ENSG00000095321	CRAT	19742.0	2709.0
ENSG00000095380	NANS	116682.0	205353.0
ENSG00000095485	CWF19L1	4476.0	5129.0
ENSG00000095637	SORBS1	11572.0	
ENSG00000095906	NUBP2	2281.0	
ENSG00000096060	FKBP5	41476.0	12854.0
ENSG00000096063	SRPK1		4974.0
ENSG00000096384	HSP90AB1	779720.0	1812870.0
ENSG00000096401	CDC5L		10949.0
ENSG00000096433	ITPR3		257.0
ENSG00000096696	DSP	4206.0	29314.0
ENSG00000096746	HNRNPH3	4025.0	39871.0
ENSG00000097021	ACOT7	1185.0	33105.0
ENSG00000097033	SH3GLB1	26822.0	18801.0
ENSG00000099219	ERMP1		3112.0
ENSG00000099246	RAB18	105879.0	58647.0
ENSG00000099250	NRP1	524.0	1892.0
ENSG00000099260	PALMD	17713.0	
ENSG00000099341	PSMD8	15924.0	19809.0
ENSG00000099622	CIRBP	9588.0	49332.0
ENSG00000099624	ATP5F1D	190514.0	183251.0
ENSG00000099769	IGFALS	3377.0	39839.0
ENSG00000099783	HNRNPM	6935.0	97644.0
ENSG00000099797	TECR		381.0
ENSG00000099800	TIMM13	58186.0	203588.0
ENSG00000099810	MTAP	198106.0	99189.0
ENSG00000099812	MISP		3546.0
ENSG00000099817	POLR2E		12908.0
ENSG00000099821	POLRMT		2204.0
ENSG00000099901	RANBP1	326901.0	317877.0
ENSG00000099937	SERPIND1	64820.0	124890.0
ENSG00000099942	CRKL	64883.0	48708.0
ENSG00000099968	BCL2L13	10162.0	2256.0
ENSG00000099995	SF3A1	2412.0	17905.0
ENSG00000099998	GGT5	6576.0	2198.0
ENSG00000100003	SEC14L2	516680.0	72.0
ENSG00000100024	UPB1	582549.0	40683.0
ENSG00000100028	SNRPD3	254128.0	578948.0
ENSG00000100029	PES1		1342.0
ENSG00000100030	MAPK1	17824.0	60221.0
ENSG00000100034	PPM1F	1049.0	985.0
ENSG00000100075	SLC25A1	4620.0	16566.0
ENSG00000100079	LGALS2		12336.0
ENSG00000100097	LGALS1	430444.0	941617.0
ENSG00000100129	EIF3L	3210.0	17491.0
ENSG00000100138	SNU13	28569.0	178245.0
ENSG00000100201	DDX17	76528.0	208877.0
ENSG00000100216	TOMM22		21154.0
ENSG00000100220	RTCB	25505.0	64950.0
ENSG00000100226	GTPBP1		3057.0
ENSG00000100242	SUN2		496.0
ENSG00000100243	CYB5R3	27703.0	59908.0
ENSG00000100266	PACSIN2	20834.0	15497.0
ENSG00000100280	AP1B1	20550.0	28405.0
ENSG00000100284	TOM1	19317.0	
ENSG00000100297	MCM5		3694.0
ENSG00000100299	ARSA	8181.0	
ENSG00000100300	TSPO		30913.0
ENSG00000100304	TTLL12	8095.0	18581.0
ENSG00000100316	RPL3	11627.0	44969.0
ENSG00000100342	APOL1	16253.0	22516.0
ENSG00000100345	MYH9	268142.0	563485.0
ENSG00000100353	EIF3D	13624.0	21458.0
ENSG00000100360	IFT27	9516.0	
ENSG00000100380	ST13	957393.0	495709.0
ENSG00000100401	RANGAP1		9714.0
ENSG00000100410	PHF5A		3892.0
ENSG00000100412	ACO2	24157.0	79635.0
ENSG00000100442	FKBP3	453070.0	187682.0
ENSG00000100448	CTSG	23009.0	23022.0
ENSG00000100462	PRMT5	6963.0	21271.0
ENSG00000100504	PYGL	737529.0	152077.0
ENSG00000100519	PSMC6	32740.0	64865.0
ENSG00000100522	GNPNAT1	344282.0	31495.0
ENSG00000100567	PSMA3	340568.0	121450.0
ENSG00000100575	TIMM9		27011.0
ENSG00000100577	GSTZ1	777077.0	28581.0
ENSG00000100591	AHSA1	8199.0	60909.0
ENSG00000100600	LGMN	6367.0	13694.0
ENSG00000100603	SNW1		4589.0
ENSG00000100612	DHRS7	5556.0	7120.0
ENSG00000100614	PPM1A	77560.0	27744.0
ENSG00000100632	ERH	215084.0	419693.0
ENSG00000100650	SRSF5	19123.0	50140.0
ENSG00000100664	EIF5	33045.0	45153.0
ENSG00000100665	SERPINA4	10204.0	52582.0
ENSG00000100714	MTHFD1	1611254.0	428553.0
ENSG00000100764	PSMC1	15110.0	16501.0
ENSG00000100804	PSMB5	223119.0	56264.0
ENSG00000100813	ACIN1		648.0
ENSG00000100823	APEX1	212312.0	353325.0
ENSG00000100836	PABPN1	22866.0	90181.0
ENSG00000100852	ARHGAP5		208.0
ENSG00000100883	SRP54	875.0	
ENSG00000100902	PSMA6	902333.0	609099.0
ENSG00000100934	SEC23A	27758.0	41908.0
ENSG00000100941	PNN		2606.0
ENSG00000100979	PLTP		35513.0
ENSG00000100983	GSS	181547.0	134455.0
ENSG00000100985	MMP9	2736.0	6047.0
ENSG00000100994	PYGB	21718.0	80316.0
ENSG00000101000	PROCR		15385.0
ENSG00000101079	NDRG3	8823.0	64134.0
ENSG00000101109	STK4	235582.0	10347.0
ENSG00000101126	ADNP		2182.0
ENSG00000101132	PFDN4	63704.0	101456.0
ENSG00000101146	RAE1		17014.0
ENSG00000101150	TPD52L2	32763.0	150392.0
ENSG00000101152	DNAJC5		5823.0
ENSG00000101160	CTSZ	290695.0	260824.0
ENSG00000101161	PRPF6		3006.0
ENSG00000101182	PSMA7	593704.0	537788.0
ENSG00000101310	SEC23B	2410.0	3536.0
ENSG00000101311	FERMT1		49889.0
ENSG00000101323	HAO1	318560.0	14894.0
ENSG00000101335	MYL9	17677.0	25294.0
ENSG00000101337	TM9SF4		9955.0
ENSG00000101346	POFUT1		7207.0
ENSG00000101347	SAMHD1	2333.0	72320.0
ENSG00000101361	NOP56	400.0	23501.0
ENSG00000101365	IDH3B		269.0
ENSG00000101367	MAPRE1	16907.0	105136.0
ENSG00000101413	RPRD1B	23234.0	80099.0
ENSG00000101421	CHMP4B	92563.0	316139.0
ENSG00000101425	BPI	7915.0	10387.0
ENSG00000101439	CST3		32415.0
ENSG00000101444	AHCY	1153692.0	933579.0
ENSG00000101474	APMAP	83211.0	86830.0
ENSG00000101557	USP14	36933.0	31727.0
ENSG00000101558	VAPA	42861.0	35117.0
ENSG00000101811	CSTF2		12717.0
ENSG00000101825	MXRA5	3003.0	709.0
ENSG00000101843	PSMD10	26610.0	50263.0
ENSG00000101856	PGRMC1	118591.0	107286.0
ENSG00000101911	PRPS2	2004.0	6037.0
ENSG00000101940	WDR13		2333.0
ENSG00000101981	F9	158386.0	90919.0
ENSG00000101997	CCDC22		829.0
ENSG00000102024	PLS3	137803.0	144551.0
ENSG00000102030	NAA10	10302.0	55055.0
ENSG00000102048	ASB9	2355.0	590.0
ENSG00000102054	RBBP7	3272.0	11306.0
ENSG00000102081	FMR1		4257.0
ENSG00000102103	PQBP1	2501.0	8723.0
ENSG00000102119	EMD	4367.0	22956.0
ENSG00000102144	PGK1	1752723.0	1969500.0
ENSG00000102158	MAGT1		3476.0
ENSG00000102172	SMS	11087.0	56859.0
ENSG00000102178	UBL4A	14370.0	9811.0
ENSG00000102189	EEA1	3716.0	12502.0
ENSG00000102241	HTATSF1		3362.0
